,words,mood
0,khush,happiness
1,maza,happiness
2,dukhi,sadness
3,udaas,sadness
4,dard,sadness
5,pareshaan,sadness
6,hassie,happiness
7,muskan,happiness
8,hangover,sadness
9,bore,sadness
10,tension,sadness
11,stress,sadness
12,excitement,happiness
13,masti,happiness
14,funnie,happiness
15,pyaar,happiness
16,breakup,sadness
17,kush,happiness
18,aansu,sadness
19,ronaa,sadness
20,smile,happiness
21,laugh,happiness
22,joi,happiness
23,dukh,sadness
24,maatam,sadness
25,vilaap,sadness
26,sukh,happiness
27,prasannata,happiness
28,harsh,happiness
29,ullaas,happiness
30,dukh,sadness
31,kasht,sadness
32,yaatna,sadness
33,janjaal,sadness
34,thak gaya,sadness
35,pareshaan,sadness
36,dil toot gaya,sadness
37,chillaana,sadness
38,hasnaa,happiness
39,majedaar,happiness
40,khushi,happiness
41,utsav,happiness
42,daiman,sadness
43,tension,sadness
44,peeda,sadness
45,bore,sadness
46,depression,sadness
47,emotional,sadness
48,paagal,sadness
49,lajawab,happiness
50,hansi,happiness
51,maza aaya,happiness
52,khushiyaan,happiness
53,ranjen,sadness
54,gham,sadness
55,malaal,sadness
56,vishad,sadness
57,dukhit,sadness
58,khusi se naacha,happiness
59,anand,happiness
60,bhaav-vihoolt,sadness
61,dukhi ho gaya,sadness
62,aabroo rakhee,happiness
63,muskuraaya,happiness
64,latka-patka,sadness
65,chidchida,sadness
66,nirash,sadness
67,udaaseen,sadness
68,sanbhalna,sadness
69,dhuk-dhuk ke ronaa,sadness
70,bhavnaaon mein behna,happiness
71,shanti,happiness
72,sukoon,happiness
73,beparwah,happiness
74,haar,sadness
75,maza,happiness
76,khubasoort,happiness
77,sucide,depression
78,jahnd,depression
79,boring,depression
