,Sentence,Mood
0,Mujhe aaj bahut khushi hai,Happy
1,Mujhe uski yaad aa rahi hai,Sad
2,Mujhe lagta hai sab theek hai,Normal
3,Mujhe kaafi stress ho raha hai,Stressed
4,Aaj ka din bahut achha tha,Happy
5,Usne mujhe ignore kar diya,Sad
6,Mujhe thoda bura lag raha hai,Normal
7,Padhai bahut zyada ho rahi hai,Stressed
8,Main aaj badi khush hoon,Happy
9,Ghar par sab theek hai,Normal
10,Mujhe kuch samajh nahi aa raha,Stressed
11,Kal test hai,Stressed
12,Mujhe uski yaad bahut aati hai,Sad
13,Mujhe ghar jaana hai,Sad
14,Mujhe lag raha hai mujhe bukhaar hai,Normal
15,Padhai ka load zyada ho raha hai,Stressed
16,Main aaj bohot khush hoon,Happy
17,Usne mere saath dhoka kiya,Sad
18,Aaj mausam bahut achha hai,Normal
19,Mujhe test ke liye stress ho raha hai,Stressed
20,Mujhe ppt ke liye stress ho raha hai,Stressed
21,Mujhe aaj bohot accha laga,Happy
22,Mujhe unka message nahi mila,Sad
23,Mujhe thodi si bimar hai,Normal
24,padhai samjhne mein mushkil ho rahi hai,Stressed
25,Maine aaj shopping ki,Normal
26,Usne mujhse jhoot bola,Sad
27,Aaj sab kuch theek thaak hai,Normal
28,Mujhe class mein zyada kaam mila hai,Stressed
29,Arey boht sara padhna hai,Stressed
31,Usne mujhe gift diya,Happy
32,Mujhe thoda gussa aa raha hai,Normal
33,Mujhe yahan acha nahi lag raha hai,Sad
34,Aaj kaafi achha din tha,Happy
35,Usne mere sapne tode,Sad
36,Mujhe neend aa rahi hai,Normal
37,Life mein tension ho rahi hai,Stressed
38,Mujhe aaj party mein jaana hai,Happy
39,Usne mere dil ko dukhaya,Sad
40,Mujhe kuch samajh nahi aa raha hai,Stressed
41,Mujhe office mein bahut pressure hai,Stressed
43,Usne mujhe ignore kiya,Sad
44,Mujhe ghar ki yaad aa rahi hai,Sad
45,Kaam ka load zyada hai,Stressed
